wylie,translations
mngon sum,непосредственное прямое постижение
mngon sum gyis shes pa,непосредственно напрямую постигающее сознание
mnyam [par] gzhag [pa],медитативное равновесие
mthar lta,воззрение крайностей; крайние взгляды
mthar ‘dzin pa,цепляние за крайности; приверженность крайним воззрениям
mtshan gzhi,пример; основа признака
mtshan nyid,характеристика; определение; признак; знак
myang ‘das,нирвана; выход за пределы страданий
myong ba,испытывать на опыте; переживать; опыт; переживание на опыте
nga rgyal,гордость; гордыня
ngar ‘dzin,цепляние за свое я
nges ‘byung,отречение
ngo bo,сущность; природа
nyams len,практика
nyan thos [rnams],шравака; слушающий
nyon mongs,омрачения; клеша
pha rol tu phyin pa,парамита; совершенство
phrin las,деяние
phung po,скандха; совокупность; психофизическая совокупность
phyag rgya,мудра; жест; супруга
rang bzhin,природа
rang gi mtshan nyid,свои характеристики; определение; свалакшана
rang rig,самопостижение; самоосознание
rang sangs rgyas,пратьекабудда
rdo rje,ваджр (м.р.)
rdzas,субстанция; вещество
reg pa,прикосновение; контакт
rgyal ba,Победитель; Победоносный
rgyud,тантра
rig pa,осознавание; ригпа; сознание; понимание
rjes su dran pa,последующее воспоминание; воспоминание; памятование
rmongs pa,неведение; тупость
rnam par thar pa,полное освобождение; житие; история освобождения; биография
rnam [par] rtog [pa],концептуальные мысли; мысли
rnam shes,сознание/ум; главное сознание/ум
rtag lta ba,"rtag lta - воззрения о постоянстве или неизменности, этернализм; rtag lta ba - те, кто предерживаются воззрения о постоянстве или неизменности"
rten,опора; опираться
rten [cing] ‘brel [bar ‘byung ba],взаимозависимое возникновение
rtog pa,концептуальные мысли; мысли
rtogs pa,постижение; реализация
sbyin pa,даяние
sdig pa,недобродетель
sdug bsngal,страдание; мука
sems,сознание; ум; разум
sems bskyed,бодхичитта; стремление к пробуждению
sems nyid,природа ума; сущность ума
sgo gsum,трое врат
sgom pa,медитация; медитировать
sgrib pa,завесы; шоры
sgro ‘dogs pa,преувеличение (как противополжность skur ba 'debs pa); неправильное представление; неправильное понимание; сомнение
sgyu ma,иллюзия
shes bzhin pa,"shes bzhin - бдительность"
shes pa,сознание; ум
shes rab,мудрость
sku gsum,три тела
smon lam,молитва-устремление; устремление
snang,свет; проявление; видимость; казаться
sngags,мантра
snying brtse,сострадание и любовь; сострадание
snying rje,сострадание
snying stobs,храбрость; смелость; саттва
so sor brtags ‘gog,прекращение вследствие различения
so sor rtog pa,раздельное; индивидуальное постижение; различение
so sor thar pa,личное освобождение; пратимокша
spros pa,умопостроения
sprul sku,нирманакая; проявленное тело
spyod pa,поведение; практика; деяние
sred pa,жажда; вожделение
srid pa,бытие; сансара; быть возможным
stong [pa] nyid,пустотность
thams cad mkhyen pa,всеведующий; всезнающий; всеведение
thar pa,освобождение
thos pa,слушание; обучение; изучение
thug pa med pa,бесконечное повторение
ting nge ‘dzin,самадхи; медитативное сосредоточение
tshul khrims,дисциплина; моральная дисциплина
ye shes,высшая мудрость; изначальная мудрость (дзогчен)
yon tan,достоинство; благое качество; знание
yul,страна; объект; местность
zhe sdang,гнев; ненависть
zhi ba,умиротворенность; покой; мирный
‘bras bu,плод; результат; следствие
‘byor ba,богаство; благо; соединение
‘dod chags,привязанность; страсть
‘dod pa,желание; страсть; объект желания; объект органов чувств
‘du shes,различение
‘dus byas,созданное условиями и причинами; произведенное
‘dzin pa,цепляние
‘gro ba,живые существа; скитальцы
‘jig rten,мир; вселенная
‘jug pa‘i sems,бодхичитта действия
‘khor ba,самсара; сансара; круговорот бытия
‘phags pa,Арья; возвышенное существо
